点赞数,评论数,分享数,视频发布时间
268921,175,2013,2022/2/19 14:25
799223,23660,8926,2022/2/19 13:01
533802,146,4407,2022/2/19 12:43
813466,39558,26040,2022/2/19 11:42
2517674,104684,12017,2022/2/19 11:10
28529,174,103,2022/2/19 9:50
443572,145,1923,2022/2/18 19:32
34447,187,267,2022/2/18 17:16
2300554,23491,6384,2022/2/18 15:27
646810,15820,3490,2022/2/18 13:46
3025,199,230,2022/2/18 9:22
935711,41225,5981,2022/2/17 20:52
759865,41530,7034,2022/2/17 18:28
139156,84,343,2022/2/17 12:12
2201203,74456,12159,2022/2/17 11:25
240264,178,649,2022/2/17 10:12
474415,12993,1772,2022/2/16 22:14
255,0,1,2022/2/16 18:23
55501,199,57,2022/2/16 16:24
2161800,37539,3631,2022/2/15 20:33
5420,72,24,2022/2/15 19:31
2822921,45845,3958,2022/2/15 16:35
46946,142,76,2022/2/15 10:44
180065,192,428,2022/2/14 12:07
38000,972,151,2022/2/14 10:27
52606,144,146,2022/2/13 23:25
2347930,84137,385355,2022/2/13 22:19
66818,187,86,2022/2/12 22:58
56782,197,47,2022/2/12 20:53
176536,4016,231,2022/2/12 18:37
962295,12118,3197,2022/2/12 8:55
3953054,50679,277346,2022/2/11 22:15
399484,45,5365,2022/2/11 18:35
2272914,124931,109675,2022/2/11 18:27
8992,132,244,2022/2/11 17:54
3644,56,26,2022/2/11 17:36
3589504,238297,133492,2022/2/11 17:25
9785,25,199,2022/2/11 17:16
297581,126,2315,2022/2/11 16:52
3396980,35505,11633,2022/2/11 16:33
47677,127,289,2022/2/11 15:49
1309209,8619,1635,2022/2/11 15:11
197196,103,579,2022/2/11 13:01
162620,66,618,2022/2/10 19:39
3591987,41697,24917,2022/2/10 15:40
18411,112,30,2022/2/10 12:56
663240,45881,24857,2022/2/10 10:42
32363,95,700,2022/2/10 9:31
2114288,99392,141029,2022/2/9 22:44
27980,58,84,2022/2/9 21:46
286324,33,2531,2022/2/9 20:48
5314,49,21,2022/2/9 19:24
24886,31,120,2022/2/9 19:21
1440,1,2,2022/2/9 19:09
3217,49,14,2022/2/9 15:07
2440109,58171,14717,2022/2/9 14:40
90773,123,857,2022/2/9 10:13
13121,116,134,2022/2/9 9:36
634168,140,51556,2022/2/8 22:46
1189758,143,27266,2022/2/8 22:18
15543,19,46,2022/2/8 22:03
116306,147,6187,2022/2/8 21:55
20590,182,223,2022/2/8 17:53
6300,75,68,2022/2/8 17:29
141,0,0,2022/2/8 15:20
8290876,594065,629779,2022/2/8 15:13
576039,110,122145,2022/2/8 14:12
8465,120,614,2022/2/8 11:49
452777,14518,3332,2022/2/8 9:29
1572205,24198,61920,2022/2/8 0:02
4680526,58671,21078,2022/2/7 23:42
12179,5,32,2022/2/7 19:28
9184,39,44,2022/2/7 17:23
16891,923,120,2022/2/7 16:52
1643235,55066,14684,2022/2/7 16:38
65148,2192,356,2022/2/7 16:22
91156,135,275,2022/2/7 16:21
4795,103,54,2022/2/7 15:56
120112,1424,1148,2022/2/7 15:17
147392,3028,308,2022/2/7 12:22
1272475,44381,135355,2022/2/7 11:07
79032,127,4199,2022/2/7 10:36
114098,23,1677,2022/2/6 19:16
4918850,58136,12576,2022/2/6 18:46
144703,184,242,2022/2/6 14:07
603891,29880,9908,2022/2/6 9:54
343510,5527,2382,2022/2/5 20:10
7517,31,32,2022/2/5 20:00
583,0,1,2022/2/5 19:43
9602,53,29,2022/2/5 18:32
92993,166,3745,2022/2/5 15:12
917120,34190,23116,2022/2/5 13:26
49896,155,3585,2022/2/5 12:47
93792,103,4188,2022/2/5 12:46
3051,28,145,2022/2/5 12:12
475,9,25,2022/2/5 10:57
1364185,54076,48206,2022/2/5 10:17
14317,186,215,2022/2/5 9:56
480255,10234,4983,2022/2/5 9:14
116204,196,221,2022/2/4 22:23
3150687,34556,18569,2022/2/4 15:59
102454,186,1019,2022/2/4 15:24
287032,7101,3892,2022/2/4 15:09
212871,1933,1188,2022/2/4 10:57
274884,9627,918,2022/2/4 9:56
1751405,94224,221071,2022/2/3 23:29
77205,185,2018,2022/2/3 22:07
3381709,86390,10469,2022/2/3 18:32
9308827,394214,223758,2022/2/3 15:56
1322550,18753,3892,2022/2/3 14:46
1269580,97143,3374,2022/2/2 15:22
15877,180,24,2022/2/2 10:36
718593,16524,3670,2022/2/1 22:23
67247,41,425,2022/2/1 19:34
1649088,36762,57276,2022/2/1 18:04
12757,197,70,2022/2/1 16:27
126607,5316,1248,2022/2/1 14:05
74658,209,629,2022/2/1 13:33
