城市,天气,最低气温,最高气温,日期
牡丹江,阵雨,8,17,2017/6/1
佳木斯,小雨转阵雨,10,15,2017/6/1
绥化,阵雨,9,17,2017/6/1
黑河,小雨转多云,7,17,2017/6/1
温都尔汗,云量增加,,8,2017/6/1
宗莫德,更冷,,0,2017/6/1
阿什哈巴德,晴转多云,22,36,2017/6/1
塔林,小雨,5,11,2017/6/1
阿达纳,多云转晴,16,28,2017/6/1
荣市,阴,29,35,2017/6/1
克拉斯诺达,多云,18,26,2017/6/1
瓦伦西亚,多云,18,30,2017/6/1
安科纳,阴转多云,20,25,2017/6/1
大兴安岭,阵雨转多云,4,17,2017/6/1
伊春,中雨转小雨,7,12,2017/6/1
大庆,阵雨转多云,9,18,2017/6/1
七台河,小雨,9,14,2017/6/1
鸡西,阵雨,8,16,2017/6/1
鹤岗,中雨转小雨,8,12,2017/6/1
双鸭山,中雨,9,14,2017/6/1
长春,阵雨转多云,8,18,2017/6/1
吉林,小雨转多云,9,18,2017/6/1
延吉,雷阵雨转阵雨,9,20,2017/6/1
巴勒莫,多云,17,26,2017/6/1
阿姆斯特丹,多云,13,20,2017/6/1
里尔,多云,15,26,2017/6/1
德黑兰,晴,17,30,2017/6/1
开塞利,多云,9,18,2017/6/1
渥太华,小雨转阴,6,16,2017/6/1
清州,多云转晴,10,24,2017/6/1
平壤,多云,12,,2017/6/1
巴西利亚,小雨转多云,15,23,2017/6/1
沙迦,晴转多云,27,43,2017/6/1
车车尔勒格,晴,6,,2017/6/1
苏赫巴托尔,更冷,,3,2017/6/1
图卢兹,多云,16,28,2017/6/1
贝洛奥里藏特,多云,17,26,2017/6/1
圣安东尼奥,阴,24,30,2017/6/1
塞班,多云,29,30,2017/6/1
都灵,多云转晴,16,27,2017/6/1
萨尔茨堡,小雨转阴,13,22,2017/6/1
芝加哥,多云,11,21,2017/6/1
米子,小雨,17,26,2017/6/1
昌迪加尔,晴,25,36,2017/6/1
四平,晴,8,22,2017/6/1
通化,多云,6,20,2017/6/1
白城,晴转多云,9,20,2017/6/1
辽源,多云,7,20,2017/6/1
松原,多云转晴,9,18,2017/6/1
白山,小雨转多云,4,18,2017/6/1
沈阳,晴转多云,10,23,2017/6/1
大连,晴,15,27,2017/6/1
鞍山,晴转多云,12,25,2017/6/1
抚顺,多云,7,22,2017/6/1
库斯科,多云,4,14,2017/6/1
哈博罗内,晴,4,21,2017/6/1
斯图加特,多云,15,24,2017/6/1
内尔斯普雷特,晴,9,25,2017/6/1
图尔库,多云,4,10,2017/6/1
朱巴,多云,22,34,2017/6/1
龙讷比,多云,8,16,2017/6/1
阿特劳,多云转阴,20,30,2017/6/1
马拉喀什,多云,19,34,2017/6/1
帝力,多云,25,30,2017/6/1
横滨,阴,20,25,2017/6/1
本溪,晴转多云,8,24,2017/6/1
丹东,晴,10,26,2017/6/1
锦州,晴转小雨,13,26,2017/6/1
营口,晴,13,25,2017/6/1
阜新,晴转多云,11,25,2017/6/1
辽阳,多云,10,25,2017/6/1
铁岭,多云,8,24,2017/6/1
朝阳,晴转阵雨,11,26,2017/6/1
盘锦,晴,13,25,2017/6/1
葫芦岛,晴转多云,11,26,2017/6/1
台北,阴转小雨,28,32,2017/6/1
都柏林,阴转小雨,9,13,2017/6/1
呼和浩特,晴转多云,15,32,2017/6/1
包头,晴转多云,16,33,2017/6/1
乌海,晴,17,35,2017/6/1
集宁,晴,15,28,2017/6/1
通辽,晴转多云,10,22,2017/6/1
赤峰,多云转中雨,9,23,2017/6/1
鄂尔多斯,晴,16,30,2017/6/1
临河,晴,14,34,2017/6/1
锡林浩特,多云转小雨,8,20,2017/6/1
海拉尔,多云,3,17,2017/6/1
林雪平,多云,7,15,2017/6/1
亚松森,阴转多云,11,16,2017/6/1
克孜勒奥尔达,晴转多云,17,31,2017/6/1
波尔多,多云转阴,16,28,2017/6/1
马塞卢,晴转多云,2,17,2017/6/1
鹿特丹,多云,12,23,2017/6/1
突尼斯,阴转小雨,19,31,2017/6/1
大马士革,晴,14,30,2017/6/1
利物浦,晴,9,17,2017/6/1
蒙哥马利,小雨转多云,20,28,2017/6/1
罗安达,阴,24,29,2017/6/1
德累斯顿,多云转晴,8,21,2017/6/1
洛美,小雨,26,30,2017/6/1
卢克索,晴,22,44,2017/6/1
比什凯克,小雨,14,28,2017/6/1
新西伯利亚,中雨转阴,4,17,2017/6/1
贝尔法斯特,晴,5,19,2017/6/1
挪威豪斯,多云转阴,0,7,2017/6/1
班戈,阴转多云,2,11,2017/6/1
哥伦比亚,阴,21,32,2017/6/1
密尔沃基,晴,13,22,2017/6/1
塔那那利佛,小雨,13,24,2017/6/1
奥克兰,小雨转中雨,13,16,2017/6/1
的黎波里,晴,17,24,2017/6/1
巴里,多云,18,27,2017/6/1
拉巴特,多云转阴,18,28,2017/6/1
坎大哈,晴,13,37,2017/6/1
萨斯卡通,多云转阴,17,32,2017/6/1
凯夫拉维克,阴,8,11,2017/6/1
马什哈德,多云,19,32,2017/6/1
乌兰浩特,多云,9,20,2017/6/1
阿左旗,晴,18,30,2017/6/1
石家庄,晴,19,31,2017/6/1
保定,晴,16,30,2017/6/1
张家口,晴转多云,15,29,2017/6/1
承德,晴转雷阵雨,11,30,2017/6/1
唐山,晴转多云,15,29,2017/6/1
廊坊,晴转多云,17,31,2017/6/1
沧州,晴,18,29,2017/6/1
衡水,晴,18,31,2017/6/1
格林维尔,小雨转多云,9,20,2017/6/1
巴色,阴转多云,25,31,2017/6/1
布林迪西,晴转多云,19,23,2017/6/1
伊斯法罕,晴,19,34,2017/6/1
伦敦,多云转阴,12,23,2017/6/1
安曼,晴转小雨,16,26,2017/6/1
斯特拉斯堡,阴转多云,16,25,2017/6/1
萨那,小雨转晴,18,31,2017/6/1
拉格兰德,阴,10,20,2017/6/1
泰贝萨,多云,17,31,2017/6/1
叶卡捷琳堡,小雨,12,14,2017/6/1
利伯维尔,小雨,27,29,2017/6/1
邢台,晴,19,31,2017/6/1
邯郸,晴,19,33,2017/6/1
秦皇岛,晴转多云,14,24,2017/6/1
太原,晴,17,33,2017/6/1
大同,晴,13,31,2017/6/1
阳泉,晴,16,31,2017/6/1
晋中,晴,16,33,2017/6/1
长治,晴,17,32,2017/6/1
晋城,多云转晴,17,33,2017/6/1
临汾,晴,21,36,2017/6/1
克莱蒙费朗,阴转多云,14,24,2017/6/1
斯塔万格,阴,8,10,2017/6/1
瓦萨,多云转阴,4,9,2017/6/1
布琼布拉,多云,21,29,2017/6/1
努瓦克肖特,晴,21,34,2017/6/1
里斯本,多云,15,27,2017/6/1
曼德勒,阴,26,34,2017/6/1
马拉加,多云,19,25,2017/6/1
巴戈特维尔,小雨转阴,8,19,2017/6/1
法鲁,晴转多云,20,24,2017/6/1
汤普森,多云转阴,10,23,2017/6/1
罗萨里奥,多云,5,15,2017/6/1
第比利斯,多云,14,24,2017/6/1
提米蒙,多云,24,39,2017/6/1
尼亚美,多云,28,38,2017/6/1
加贝斯,阴,20,25,2017/6/1
多伦多,小雨转多云,8,18,2017/6/1
金边,小雨转阴,25,33,2017/6/1
朔州,晴,14,31,2017/6/1
忻州,晴,17,32,2017/6/1
离石,晴,18,33,2017/6/1
西安,多云,20,35,2017/6/1
三原,多云,21,35,2017/6/1
延长,晴转多云,13,34,2017/6/1
榆林,晴,19,32,2017/6/1
渭南,晴,22,35,2017/6/1
商洛,多云,14,34,2017/6/1
汉中,阴转多云,20,31,2017/6/1
宝鸡,多云,21,33,2017/6/1
铜川,多云,19,34,2017/6/1
杨凌,多云,20,34,2017/6/1
济南,晴,20,33,2017/6/1
青岛,晴,17,25,2017/6/1
淄博,晴,17,31,2017/6/1
德州,晴,16,31,2017/6/1
烟台,多云转晴,16,24,2017/6/1
济宁,多云转晴,23,36,2017/6/1
泰安,多云,20,34,2017/6/1
临沂,多云转晴,18,34,2017/6/1
菏泽,晴,22,36,2017/6/1
滨州,晴,16,29,2017/6/1
东营,晴转多云,17,28,2017/6/1
威海,晴转多云,16,23,2017/6/1
枣庄,多云,19,36,2017/6/1
日照,晴,17,24,2017/6/1
聊城,晴转多云,19,32,2017/6/1
乌鲁木齐,多云,15,24,2017/6/1
克拉玛依,阴转晴,20,27,2017/6/1
石河子,多云,18,,2017/6/1
昌吉,多云,17,27,2017/6/1
吐鲁番,晴转多云,26,37,2017/6/1
库尔勒,多云转阵雨,18,30,2017/6/1
阿拉尔,小雨,17,23,2017/6/1
阿克苏,小雨,15,25,2017/6/1
伊宁,多云,14,23,2017/6/1
塔城,多云,13,28,2017/6/1
哈密,晴,17,32,2017/6/1
和田,多云转晴,15,28,2017/6/1
阿勒泰,多云,11,25,2017/6/1
阿图什,晴,16,29,2017/6/1
博乐,阴转晴,14,26,2017/6/1
拉萨,晴,10,22,2017/6/1
日喀则,晴转多云,8,21,2017/6/1
林芝,小雨转阵雨,11,18,2017/6/1
昌都,小雨转多云,8,19,2017/6/1
那曲,小雨转阴,3,14,2017/6/1
阿里,小雨转多云,0,14,2017/6/1
西宁,多云转阵雨,10,22,2017/6/1
平安,多云转阵雨,13,24,2017/6/1
同仁,阴转阵雨,10,20,2017/6/1
共和,阵雨,9,16,2017/6/1
玛沁,小雨,4,11,2017/6/1
玉树,小雨转阵雨,5,22,2017/6/1
德令哈,晴转小雨,10,19,2017/6/1
海晏,阴转阵雨,6,16,2017/6/1
格尔木,阴转阵雨,6,16,2017/6/1
兰州,多云,17,30,2017/6/1
定西,多云,13,27,2017/6/1
平凉,多云,14,31,2017/6/1
庆阳,晴转多云,17,29,2017/6/1
武威,晴,18,32,2017/6/1
金昌,晴转多云,14,29,2017/6/1
酒泉,多云,16,30,2017/6/1
天水,多云,16,31,2017/6/1
武都,多云转晴,18,29,2017/6/1
临夏,多云,11,23,2017/6/1
合作,多云,6,15,2017/6/1
白银,晴转多云,17,28,2017/6/1
嘉峪关,多云,16,29,2017/6/1
银川,多云,17,31,2017/6/1
石嘴山,多云,15,32,2017/6/1
固原,多云,13,27,2017/6/1
中卫,多云,15,31,2017/6/1
郑州,晴,21,35,2017/6/1
安阳,晴,20,31,2017/6/1
新乡,晴,21,34,2017/6/1
许昌,晴转多云,20,36,2017/6/1
平顶山,晴,21,36,2017/6/1
信阳,多云转晴,23,34,2017/6/1
南阳,晴,22,37,2017/6/1
洛阳,晴,22,36,2017/6/1
商丘,晴,21,37,2017/6/1
焦作,晴,23,36,2017/6/1
鹤壁,晴,18,32,2017/6/1
濮阳,晴,19,32,2017/6/1
周口,晴,24,36,2017/6/1
漯河,多云转晴,21,35,2017/6/1
驻马店,晴,22,37,2017/6/1
三门峡,晴,21,36,2017/6/1
南京,多云转晴,22,33,2017/6/1
无锡,阴转多云,22,33,2017/6/1
镇江,多云,22,34,2017/6/1
苏州,小雨转多云,23,31,2017/6/1
